Name,Link,Price,Image,Field4
2 lb Clementines/Mandarins,https://www.iga.net/en/product/clementines/mandarins2-lb/00000_000000003338370106,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338370106.jpg,
 Apricots,https://www.iga.net/en/product/apricots/00000_000000000000004218,"
                                            $1.10 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004218.jpg,
Aromatic Crispy Apples,https://www.iga.net/en/product/applesaromatic-crispy/00000_000000068922599993,"
                                            $0.39 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068922599993.jpg,
Asian Brown Pears,https://www.iga.net/en/product/pearsasian-brown/00000_000000000000004408,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004408.jpg,
 Asian Pears,https://www.iga.net/en/product/asian-pears/00000_000000000000004407,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004407.jpg,
Ataulfo Per Cases Mango,https://www.iga.net/en/product/mangoataulfo-per-cases/00000_000000061968115595,"
                                            $7.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0061968115595.jpg,
Bagged Organic Avocado,https://www.iga.net/en/product/avocadobagged-organic/00000_000000080914599199,"
                                            $1.66 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080914599199.jpg,
Black Large Plums,https://www.iga.net/en/product/plumsblack-large/00000_000000000000004040,"
                                            $0.66 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004040.jpg,
 Blackberries,https://www.iga.net/en/product/blackberries/00000_000000076163520200,"
                                            $1.76 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0076163520200.jpg,
 Blackberries,https://www.iga.net/en/product/blackberries/00000_000000000000004239,"
                                            $2.06 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004239.jpg,
Blue Black Seedless Grapes,https://www.iga.net/en/product/grapesblue-black-seedless/00000_000000000000004056,"
                                            $0.27 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004056.jpg,
Case Avocado,https://www.iga.net/en/product/avocadocase/00000_000000033383467474,"
                                            $9.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0033383467474.jpg,
Case Mangoes,https://www.iga.net/en/product/mangoescase/00000_000000000000004315,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004315.jpg,
 Cherries,https://www.iga.net/en/product/cherries/00000_000000000000004045,"
                                            $1.10 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004045.jpg,
Chinese Ya Pears,https://www.iga.net/en/product/pearschinese-ya/00000_000000000000004890,"
                                            $0.40 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004890.jpg,
Cotton Candy Grapes,https://www.iga.net/en/product/grapescotton-candy/00000_000000000000003093,"
                                            $1.54 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003093.jpg,
 Dragon Fruit,https://www.iga.net/en/product/dragon-fruit/00000_000000000000003040,"
                                            $3.00 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003040.jpg,
Golden Honeydew,https://www.iga.net/en/product/honeydewgolden/00000_000000000000003100,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003100.jpg,
Golden Pineapples,https://www.iga.net/en/product/pineapplesgolden/00000_000000000000004433,"
                                            $3.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004433.jpg,
Golden/Rainier Cherries,https://www.iga.net/en/product/cherriesgolden/rainier/00000_000000000000004258,"
                                            $1.54 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004258.jpg,
Half Pint Raspberries,https://www.iga.net/en/product/raspberrieshalf-pint/00000_000000003338321026,"
                                            $1.47 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338321026.jpg,
Hami Melon,https://www.iga.net/en/product/melonhami/00000_000000000000003623,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003623.jpg,
Hass 5 Avocados,https://www.iga.net/en/product/avocadoshass-5/00000_000000003338340145,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338340145.jpg,
In Basket Nectarines,https://www.iga.net/en/product/nectarinesin-basket/00000_000000080199400193,"
                                            $0.17 / 100 ML
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080199400193.jpg,
In Basket Peaches,https://www.iga.net/en/product/peachesin-basket/00000_000000080199400191,"
                                            $0.17 / 100 ML
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080199400191.jpg,
Large Hass Avocado,https://www.iga.net/en/product/hass-avocadolarge/00000_000000000000004225,"
                                            $1.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004225.jpg,
Large Lemons,https://www.iga.net/en/product/lemonslarge/00000_000000000000004053,"
                                            $0.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004053.jpg,
Large Nectarines,https://www.iga.net/en/product/nectarineslarge/00000_000000000000004036,"
                                            $0.66 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004036.jpg,
Lemondrop Melon,https://www.iga.net/en/product/melonlemondrop/00000_000000080199400081,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080199400081.jpg,
Local Strawberry Basket,https://www.iga.net/en/product/strawberry-basketlocal/00000_000000085301500120,"
                                            $0.25 / 100 ML
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0085301500120.jpg,
 Lychee,https://www.iga.net/en/product/lychee/00000_000000080199400110,"
                                            $2.20 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080199400110.jpg,
MacIntosh Apple,https://www.iga.net/en/product/applemacintosh/00000_000000006882013318,"
                                            $0.30 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0006882013318.jpg,
Meg Bag Sangria,https://www.iga.net/en/product/sangriameg-bag/00000_000000003338310561,"
                                            $0.67 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338310561.jpg,
Navel 48-56 Oranges,https://www.iga.net/en/product/orangesnavel-48-56/00000_000000000000004012,"
                                            $1.25 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004012.jpg,
Navel Oranges,https://www.iga.net/en/product/orangesnavel/00000_000000003338312513,"
                                            $0.44 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338312513.jpg,
Orange Flesh Honeydew,https://www.iga.net/en/product/honeydeworange-flesh/00000_000000000000004327,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004327.jpg,
Organic 3 lb Oranges,https://www.iga.net/en/product/orangesorganic-3-lb/00000_000000081675400003,"
                                            $0.51 / 100 G
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
Organic 6 oz Clamshell Blackberries,https://www.iga.net/en/product/blackberriesorganic-6-oz-clamshell/00000_000000071575610022,"
                                            $2.06 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0071575610022.jpg,
Organic Avocado Hass,https://www.iga.net/en/product/avocado-hassorganic/00000_000000000000094046,"
                                            $2.49 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094046.jpg,
Organic Bananas,https://www.iga.net/en/product/bananasorganic/00000_000000000000094011,"
                                            $0.28 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094011.jpg,
Organic Blueberries,https://www.iga.net/en/product/blueberriesorganic/00000_000000071575630009,"
                                            $1.47 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0071575630009.jpg,
Organic Lemon,https://www.iga.net/en/product/lemonorganic/00000_000000068575009147,"
                                            $0.77 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068575009147.jpg,
Organic Lemons,https://www.iga.net/en/product/lemonsorganic/00000_000000000000094053,"
                                            $1.29 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094053.jpg,
Organic Pineapple,https://www.iga.net/en/product/pineappleorganic/00000_000000061046210201,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0061046210201.jpg,
Organic Raspberries,https://www.iga.net/en/product/raspberriesorganic/00000_000000071575610004,"
                                            $1.76 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0071575610004.jpg,
Organic Red Seedless Grapes,https://www.iga.net/en/product/red-seedless-grapesorganic/00000_000000000000094023,"
                                            $0.49 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094023.jpg,
Organic Watermelon,https://www.iga.net/en/product/watermelonorganic/00000_000000000000094032,"
                                            $9.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094032.jpg,
"Organic, Seedless White/Green Grapes",https://www.iga.net/en/product/white/green-grapesorganic--seedless/00000_000000000000094022,"
                                            $0.49 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094022.jpg,
 Papaya,https://www.iga.net/en/product/papaya/00000_000000000000003112,"
                                            $0.40 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003112.jpg,
 Passion Fruit,https://www.iga.net/en/product/passion-fruit/00000_000000000000004397,"
                                            $1.49 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004397.jpg,
 Pear Case,https://www.iga.net/en/product/pear-case/00000_000000005529200021,"
                                            $6.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0005529200021.jpg,
Pint Blueberries,https://www.iga.net/en/product/blueberriespint/00000_000000081762101009,"
                                            $2.50 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0081762101009.jpg,
 Pluots Interspecific,https://www.iga.net/en/product/pluots-interspecific/00000_000000000000003278,"
                                            $1.10 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003278.jpg,
 Raspberries,https://www.iga.net/en/product/raspberries/00000_000000071575610003,"
                                            $1.76 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0071575610003.jpg,
Red Grapefruit,https://www.iga.net/en/product/grapefruitred/00000_000000003338391112,"
                                            $0.44 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338391112.jpg,
Red Large Plums,https://www.iga.net/en/product/plumsred-large/00000_000000000000004042,"
                                            $0.66 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004042.jpg,
 Red Seedless Grapes,https://www.iga.net/en/product/red-seedless-grapes/00000_000000000000004023,"
                                            $0.27 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004023.jpg,
Regular Seeded Watermelon,https://www.iga.net/en/product/watermelonregular-seeded/00000_000000000000004031,"
                                            $7.99 / EA
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
Regular Seedless Bin Watermelon,https://www.iga.net/en/product/watermelonregular-seedless-bin/00000_000000000000004032,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004032.jpg,
Santa Claus Melons,https://www.iga.net/en/product/melonssanta-claus/00000_000000000000004336,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004336.jpg,
Saturn Peaches,https://www.iga.net/en/product/peachessaturn/00000_000000000000003113,"
                                            $1.32 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003113.jpg,
Spartan Apple,https://www.iga.net/en/product/applespartan/00000_000000006882013321,"
                                            $0.30 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0006882013321.jpg,
Sweet Crispy Apples,https://www.iga.net/en/product/applessweet-crispy/00000_000000068922599992,"
                                            $0.39 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068922599992.jpg,
W Pack Lemons,https://www.iga.net/en/product/lemonsw-pack/00000_000000003338314020,"
                                            $0.33 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338314020.jpg,
Watermelon Yellow Seedless Melons,https://www.iga.net/en/product/melonswatermelon-yellow-seedless/00000_000000000000004341,"
                                            $0.33 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004341.jpg,
White Flesh Large Peaches,https://www.iga.net/en/product/peacheswhite-flesh-large/00000_000000000000004401,"
                                            $0.77 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004401.jpg,
White Flesh Nectarines,https://www.iga.net/en/product/nectarineswhite-flesh/00000_000000000000003035,"
                                            $0.77 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003035.jpg,
 White/Green Seedless Grapes,https://www.iga.net/en/product/white/green-seedless-grapes/00000_000000000000004022,"
                                            $0.27 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004022.jpg,
 Zespri Kiwi Sungold,https://www.iga.net/en/product/zespri-kiwi-sungold/00000_000000081884902001,"
                                            $1.10 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0081884902001.jpg,
1.2 L Kiwifruits,https://www.iga.net/en/product/kiwifruits1-2-l/00000_000000062823366058,"
                                            $5.49 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0062823366058.jpg,
